Date,Auto,Consumer,Oil & Gas (Energy),FMCG,IT,Media,Metal,Healthcare (Pharma),Realty,Finance,Benchmark
2015-11-10,8257.7001953125,3483.949951171875,7885.60009765625,20215.80078125,11414.4501953125,2295.85009765625,1681.449951171875,11618.2998046875,164.35000610351562,16994.90234375,7783.35009765625
2015-11-13,8178.2998046875,3443.050048828125,7932.60009765625,19896.19921875,11414.4501953125,2274.0,1704.050048828125,11640.5498046875,166.5500030517578,16994.90234375,7762.25
2015-11-16,8190.35009765625,3447.25,7943.60009765625,19986.55078125,11414.4501953125,2284.64990234375,1720.5999755859375,11711.0,166.5500030517578,16994.90234375,7806.60009765625
2015-11-17,8252.099609375,3476.89990234375,7940.4501953125,20469.099609375,11414.4501953125,2290.89990234375,1739.6500244140625,11801.2001953125,166.60000610351562,16994.90234375,7837.5498046875
2015-11-18,8181.0,3463.64990234375,7880.0498046875,20411.80078125,11414.4501953125,2275.800048828125,1702.050048828125,11717.7998046875,164.0500030517578,16994.90234375,7731.7998046875
2015-11-19,8295.0498046875,3512.800048828125,8030.35009765625,20642.599609375,11414.4501953125,2338.550048828125,1722.8499755859375,11674.9501953125,164.1999969482422,16994.90234375,7842.75
2015-11-20,8339.400390625,3534.199951171875,8126.35009765625,20449.80078125,11414.4501953125,2355.199951171875,1726.0999755859375,11685.349609375,163.85000610351562,16994.90234375,7856.5498046875
2015-11-23,8395.349609375,3544.449951171875,8149.75,20166.5,11414.4501953125,2398.89990234375,1698.300048828125,11717.150390625,165.3000030517578,16994.90234375,7849.25
2015-11-24,8332.900390625,3541.449951171875,8206.7001953125,20184.0,11414.4501953125,2376.0,1697.25,11637.849609375,167.0500030517578,16994.90234375,7831.60009765625
2015-11-26,8444.599609375,3565.949951171875,8324.75,20380.44921875,11414.4501953125,2408.25,1715.1500244140625,11553.2998046875,170.5500030517578,16994.90234375,7883.7998046875
2015-11-27,8443.650390625,3564.300048828125,8285.4501953125,20436.099609375,11414.4501953125,2426.5,1736.3499755859375,11567.5498046875,171.1999969482422,16994.90234375,7942.7001953125
2015-11-30,8481.849609375,3546.85009765625,8242.75,20278.55078125,11414.4501953125,2432.699951171875,1735.800048828125,11492.900390625,173.3000030517578,16994.90234375,7935.25
2015-12-01,8419.0,3561.64990234375,8288.349609375,20560.44921875,11414.4501953125,2461.10009765625,1790.9000244140625,11608.7001953125,173.89999389648438,16994.90234375,7954.89990234375
2015-12-02,8416.400390625,3576.60009765625,8331.9501953125,20665.599609375,11414.4501953125,2461.5,1806.1500244140625,11723.349609375,174.14999389648438,16994.90234375,7931.35009765625
2015-12-03,8334.650390625,3543.5,8278.25,20346.599609375,11414.4501953125,2457.949951171875,1779.550048828125,11587.2998046875,174.6999969482422,16994.90234375,7864.14990234375
2015-12-04,8240.7001953125,3508.0,8171.7001953125,20087.849609375,11414.4501953125,2394.89990234375,1776.949951171875,11645.0498046875,172.14999389648438,16994.90234375,7781.89990234375
2015-12-07,8221.5,3501.39990234375,8114.35009765625,19534.19921875,11414.4501953125,2402.64990234375,1770.050048828125,11762.599609375,173.1999969482422,16994.90234375,7765.39990234375
